index,Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Region,Activity Type Code,Terminal,Boarding Area,Passenger Count,Adjusted Activity Type Code,Adjusted Passenger Count,Year,Month,Price_Category,GEO_Summary
38,200507,China Airlines,CI,China Airlines,CI,Asia,Enplaned,Terminal 2,A,11255,Enplaned,11255,2005,July,First class,International
39,200507,Delta Air Lines,DL,Delta Air Lines,DL,US,Deplaned,Terminal 3,C,97510,Deplaned,97510,2005,July,First class,International
40,200507,Delta Air Lines,DL,Delta Air Lines,DL,US,Enplaned,Terminal 2,C,93791,Enplaned,93791,2005,July,First class,Domestic
41,200507,EVA Airways,BR,EVA Airways,BR,Asia,Deplaned,International,G,14142,Deplaned,14142,2005,July,First class,Domestic
42,200507,EVA Airways,BR,EVA Airways,BR,Asia,Enplaned,Terminal 1,G,12132,Enplaned,12132,2005,July,Economy,Domestic
43,200507,Frontier Airlines,F9,Frontier Airlines,F9,US,Deplaned,Terminal 3,B,19234,Deplaned,19234,2005,July,Economy,International
44,200507,Frontier Airlines,F9,Frontier Airlines,F9,US,Enplaned,Terminal 1,B,18368,Enplaned,18368,2005,July,First class,Domestic
45,200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,US,Deplaned,Terminal 4,C,7579,Deplaned,7579,2005,July,Business,International
46,200507,Hawaiian Airlines,HA,Hawaiian Airlines,HA,US,Enplaned,Terminal 3,C,7658,Enplaned,7658,2005,July,First class,Domestic
47,200507,Horizon Air ,QX,Alaska Airlines,AS,US,Deplaned,International,B,5284,Deplaned,5284,2005,July,First class,International
48,200507,Horizon Air ,QX,Alaska Airlines,AS,US,Enplaned,Terminal 3,B,5257,Enplaned,5257,2005,July,First class,International
49,200507,Icelandair,FI,Icelandair,FI,Europe,Deplaned,International,A,4540,Deplaned,4540,2005,July,Economy,International
50,200507,Icelandair,FI,Icelandair,FI,Europe,Enplaned,Terminal 1,A,4341,Enplaned,4341,2005,July,Business,International
51,200507,Independence Air,DH,Independence Air,DH,US,Deplaned,International,A,10843,Deplaned,10843,2005,July,First class,International
52,200507,Independence Air,DH,Independence Air,DH,US,Enplaned,Terminal 2,A,10967,Enplaned,10967,2005,July,Economy,Domestic
53,200507,Japan Airlines,JL,Japan Airlines,JL,Asia,Deplaned,International,A,9195,Deplaned,9195,2005,July,First class,International
54,200507,Japan Airlines,JL,Japan Airlines,JL,Asia,Enplaned,Terminal 2,A,9086,Enplaned,9086,2005,July,Business,International
55,200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,Europe,Deplaned,Terminal 3,A,9978,Deplaned,9978,2005,July,First class,International
56,200507,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,Europe,Enplaned,Terminal 3,A,9587,Enplaned,9587,2005,July,First class,Domestic
57,200507,Korean Air Lines,KE,Korean Air Lines,KE,Asia,Deplaned,Terminal 4,A,6153,Deplaned,6153,2005,July,Economy,Domestic
58,200507,Korean Air Lines,KE,Korean Air Lines,KE,Asia,Enplaned,International,A,5646,Enplaned,5646,2005,July,Business,International
59,200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,Europe,Deplaned,International,G,22389,Deplaned,22389,2005,July,Economy,Domestic
60,200507,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,Europe,Enplaned,International,G,20511,Enplaned,20511,2005,July,Business,Domestic
61,200507,Mesa Airlines,YV,US Airways,US ,US,Deplaned,Terminal 1,B,2636,Deplaned,2636,2005,July,Economy,Domestic
62,200507,Mesa Airlines,YV,US Airways,US ,US,Enplaned,Terminal 3,B,2535,Enplaned,2535,2005,July,First class,International
63,200507,Mexicana Airlines,MX,Mexicana Airlines,MX,Mexico,Deplaned,Terminal 3,G,7751,Deplaned,7751,2005,July,Economy,Domestic
64,200507,Mexicana Airlines,MX,Mexicana Airlines,MX,Mexico,Enplaned,Terminal 1,G,7845,Enplaned,7845,2005,July,Business,International
65,200507,Midwest Airlines,YX,Midwest Airlines,YX,US,Deplaned,International,A,1797,Deplaned,1797,2005,July,Business,International
66,200507,Midwest Airlines,YX,Midwest Airlines,YX,US,Enplaned,Terminal 4,A,3238,Enplaned,3238,2005,July,Business,International
67,200507,Northwest Airlines,NW,Northwest Airlines,NW,US,Deplaned,Terminal 4,C,64231,Deplaned,64231,2005,July,Economy,Domestic
68,200507,Northwest Airlines,NW,Northwest Airlines,NW,US,Enplaned,International,C,62049,Enplaned,62049,2005,July,Business,Domestic
69,200507,Northwest Airlines,NW,Northwest Airlines,NW,Asia,Deplaned,Terminal 2,A,7229,Deplaned,7229,2005,July,Business,Domestic
70,200507,Northwest Airlines,NW,Northwest Airlines,NW,Asia,Enplaned,Terminal 3,A,6554,Enplaned,6554,2005,July,Business,International
71,200507,Philippine Airlines,PR,Philippine Airlines,PR,Asia,Deplaned,International,A,12828,Deplaned,12828,2005,July,Economy,Domestic
72,200507,Philippine Airlines,PR,Philippine Airlines,PR,Asia,Enplaned,Terminal 3,A,10269,Enplaned,10269,2005,July,First class,Domestic
73,200507,Singapore Airlines,SQ,Singapore Airlines,SQ,Asia,Deplaned,International,G,19211,Deplaned,19211,2005,July,First class,International
74,200507,Singapore Airlines,SQ,Singapore Airlines,SQ,Asia,Enplaned,Terminal 3,G,17462,Enplaned,17462,2005,July,Economy,International
75,200507,SkyWest Airlines,OO,Delta Air Lines,DL,US,Deplaned,International,C,7262,Deplaned,7262,2005,July,First class,Domestic
76,200507,SkyWest Airlines,OO,Delta Air Lines,DL,US,Enplaned,Terminal 1,C,6586,Enplaned,6586,2005,July,Business,Domestic
77,200507,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,US,Deplaned,International,F,103279,Deplaned,103279,2005,July,Business,International
78,200507,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,US,Enplaned,Terminal 1,F,102023,Enplaned,102023,2005,July,First class,Domestic
79,200507,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Canada,Deplaned,Terminal 4,F,3688,Deplaned,3688,2005,July,First class,International
80,200507,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Canada,Enplaned,Terminal 4,F,3633,Enplaned,3633,2005,July,First class,Domestic
81,200507,Sun Country Airlines,SY,Sun Country Airlines,SY,US,Deplaned,Terminal 4,B,4827,Deplaned,4827,2005,July,First class,International
82,200507,Sun Country Airlines,SY,Sun Country Airlines,SY,US,Enplaned,Terminal 3,B,4784,Enplaned,4784,2005,July,Business,Domestic
83,200507,TACA,TA,TACA,TA,Central America,Deplaned,International,G,6324,Deplaned,6324,2005,July,Business,International
84,200507,TACA,TA,TACA,TA,Central America,Enplaned,Terminal 2,G,7031,Enplaned,7031,2005,July,First class,International
85,200507,US Airways,US ,US Airways,US ,US,Deplaned,Terminal 4,A,46042,Deplaned,46042,2005,July,First class,International
86,200507,US Airways,US ,US Airways,US ,US,Enplaned,International,A,45553,Enplaned,45553,2005,July,First class,International
87,200507,US Airways,US ,US Airways,US ,US,Deplaned,Terminal 3,B,38951,Deplaned,38951,2005,July,Economy,Domestic
88,200507,US Airways,US ,US Airways,US ,US,Enplaned,Terminal 2,B,37848,Enplaned,37848,2005,July,First class,International
89,200507,United Airlines,UA,United Airlines,UA,US,Deplaned,Terminal 1,B,62178,Deplaned,62178,2005,July,First class,International
90,200507,United Airlines,UA,United Airlines,UA,US,Enplaned,Terminal 1,B,60939,Enplaned,60939,2005,July,First class,Domestic
91,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,US,Deplaned,International,E,58767,Deplaned,58767,2005,July,Business,Domestic
92,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,US,Enplaned,International,E,58277,Enplaned,58277,2005,July,First class,International
93,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,US,Deplaned,Terminal 4,F,443656,Deplaned,443656,2005,July,Business,International
94,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,US,Enplaned,Terminal 1,F,421802,Enplaned,421802,2005,July,Business,Domestic
95,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,US,Thru / Transit,Terminal 4,F,11388,Thru / Transit * 2,22776,2005,July,Business,International
96,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Asia,Deplaned,Terminal 2,G,77658,Deplaned,77658,2005,July,Economy,Domestic
97,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Asia,Enplaned,Terminal 4,G,68278,Enplaned,68278,2005,July,Economy,International
98,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Asia,Thru / Transit,Terminal 1,G,3953,Thru / Transit * 2,7906,2005,July,First class,Domestic
99,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Australia / Oceania,Deplaned,Terminal 2,G,8603,Deplaned,8603,2005,July,First class,Domestic
100,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Australia / Oceania,Enplaned,Terminal 4,G,8234,Enplaned,8234,2005,July,First class,International
101,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Australia / Oceania,Thru / Transit,Terminal 1,G,1385,Thru / Transit * 2,2770,2005,July,First class,International
102,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Canada,Deplaned,International,F,12874,Deplaned,12874,2005,July,Business,International
103,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Canada,Enplaned,Terminal 4,F,12085,Enplaned,12085,2005,July,First class,International
104,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Canada,Thru / Transit,International,F,10,Thru / Transit * 2,20,2005,July,Business,International
105,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Europe,Deplaned,Terminal 3,G,30796,Deplaned,30796,2005,July,Economy,International
106,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Europe,Enplaned,International,G,29283,Enplaned,29283,2005,July,First class,Domestic
107,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Europe,Thru / Transit,Terminal 3,G,888,Thru / Transit * 2,1776,2005,July,First class,International
108,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Mexico,Deplaned,Terminal 1,G,9537,Deplaned,9537,2005,July,Business,International
109,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Mexico,Enplaned,International,G,9672,Enplaned,9672,2005,July,Economy,International
110,200507,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Mexico,Thru / Transit,Terminal 1,G,45,Thru / Transit * 2,90,2005,July,First class,International
111,200507,Virgin Atlantic,VS,Virgin Atlantic,VS,Europe,Deplaned,Terminal 3,A,11684,Deplaned,11684,2005,July,Economy,Domestic
112,200507,Virgin Atlantic,VS,Virgin Atlantic,VS,Europe,Enplaned,Terminal 4,A,10771,Enplaned,10771,2005,July,Economy,International
113,200507,WestJet Airlines,WS,WestJet Airlines,WS,Canada,Deplaned,Terminal 4,A,2480,Deplaned,2480,2005,July,First class,Domestic
114,200507,WestJet Airlines,WS,WestJet Airlines,WS,Canada,Enplaned,Terminal 2,A,2211,Enplaned,2211,2005,July,Business,International
115,200508,ATA Airlines,TZ,ATA Airlines,TZ,US,Deplaned,Terminal 3,B,27472,Deplaned,27472,2005,August,Business,Domestic
116,200508,ATA Airlines,TZ,ATA Airlines,TZ,US,Enplaned,International,B,26535,Enplaned,26535,2005,August,First class,International
117,200508,ATA Airlines,TZ,ATA Airlines,TZ,US,Thru / Transit,International,B,5712,Thru / Transit * 2,11424,2005,August,First class,Domestic
118,200508,Air Canada ,AC,Air Canada ,AC,Canada,Deplaned,Terminal 1,B,34878,Deplaned,34878,2005,August,Business,International
119,200508,Air Canada ,AC,Air Canada ,AC,Canada,Enplaned,International,B,34105,Enplaned,34105,2005,August,Economy,Domestic
120,200508,Air China,CA,Air China,CA,Asia,Deplaned,Terminal 3,G,4204,Deplaned,4204,2005,August,Business,Domestic
121,200508,Air China,CA,Air China,CA,Asia,Enplaned,Terminal 1,G,3923,Enplaned,3923,2005,August,First class,Domestic
122,200508,Air France,AF,Air France,AF,Europe,Deplaned,International,A,11230,Deplaned,11230,2005,August,Business,International
123,200508,Air France,AF,Air France,AF,Europe,Enplaned,Terminal 1,A,11731,Enplaned,11731,2005,August,First class,International
124,200508,Air New Zealand,NZ,Air New Zealand,NZ,Australia / Oceania,Deplaned,International,G,4672,Deplaned,4672,2005,August,Business,International
125,200508,Air New Zealand,NZ,Air New Zealand,NZ,Australia / Oceania,Enplaned,Terminal 3,G,4006,Enplaned,4006,2005,August,Economy,Domestic
126,200508,AirTran Airways,FL,AirTran Airways,FL,US,Deplaned,Terminal 4,A,7796,Deplaned,7796,2005,August,First class,Domestic
127,200508,AirTran Airways,FL,AirTran Airways,FL,US,Enplaned,Terminal 3,A,7737,Enplaned,7737,2005,August,Economy,Domestic
128,200508,Alaska Airlines,AS,Alaska Airlines,AS,US,Deplaned,International,A,40431,Deplaned,40431,2005,August,Business,Domestic
129,200508,Alaska Airlines,AS,Alaska Airlines,AS,US,Enplaned,International,A,39595,Enplaned,39595,2005,August,First class,Domestic
130,200508,Alaska Airlines,AS,Alaska Airlines,AS,US,Thru / Transit,International,A,1902,Thru / Transit * 2,3804,2005,August,Business,International
131,200508,Alaska Airlines,AS,Alaska Airlines,AS,Canada,Deplaned,Terminal 4,A,8901,Deplaned,8901,2005,August,Economy,Domestic
132,200508,Alaska Airlines,AS,Alaska Airlines,AS,Canada,Enplaned,International,A,9020,Enplaned,9020,2005,August,Business,Domestic
133,200508,Alaska Airlines,AS,Alaska Airlines,AS,Mexico,Deplaned,International,A,7541,Deplaned,7541,2005,August,First class,Domestic
134,200508,Alaska Airlines,AS,Alaska Airlines,AS,Mexico,Enplaned,International,A,9333,Enplaned,9333,2005,August,First class,International
135,200508,Alaska Airlines,AS,Alaska Airlines,AS,Mexico,Thru / Transit,Terminal 4,A,1902,Thru / Transit * 2,3804,2005,August,Business,International
136,200508,All Nippon Airways,NH,All Nippon Airways,NH,Asia,Deplaned,International,G,6739,Deplaned,6739,2005,August,Economy,International
137,200508,All Nippon Airways,NH,All Nippon Airways,NH,Asia,Enplaned,International,G,5966,Enplaned,5966,2005,August,Business,Domestic
138,200508,American Airlines,AA,American Airlines,AA,US,Deplaned,Terminal 4,E,162064,Deplaned,162064,2005,August,First class,International
139,200508,American Airlines,AA,American Airlines,AA,US,Enplaned,Terminal 2,E,157700,Enplaned,157700,2005,August,Economy,Domestic
140,200508,American Eagle Airlines,MQ,American Airlines,AA,US,Deplaned,International,E,5233,Deplaned,5233,2005,August,First class,International
141,200508,American Eagle Airlines,MQ,American Airlines,AA,US,Enplaned,International,E,4866,Enplaned,4866,2005,August,Business,Domestic
142,200508,Asiana Airlines,OZ,Asiana Airlines,OZ,Asia,Deplaned,Terminal 2,A,4099,Deplaned,4099,2005,August,Economy,International
143,200508,Asiana Airlines,OZ,Asiana Airlines,OZ,Asia,Enplaned,Terminal 2,A,3376,Enplaned,3376,2005,August,Business,International
144,200508,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,US,Deplaned,Terminal 3,C,1735,Deplaned,1735,2005,August,Business,Domestic
145,200508,Atlantic Southeast Airlines,EV,Delta Air Lines,DL,US,Enplaned,International,C,1560,Enplaned,1560,2005,August,Economy,International
146,200508,BelAir Airlines,4T,BelAir Airlines,4T,Europe,Deplaned,International,A,353,Deplaned,353,2005,August,First class,International
147,200508,BelAir Airlines,4T,BelAir Airlines,4T,Europe,Enplaned,Terminal 1,A,751,Enplaned,751,2005,August,First class,International
148,200508,Boeing Company,,Boeing Company,,US,Deplaned,International,Other,18,Deplaned,18,2005,August,Economy,Domestic
149,200508,British Airways,BA,British Airways,BA,Europe,Deplaned,Terminal 3,A,20312,Deplaned,20312,2005,August,Business,Domestic
150,200508,British Airways,BA,British Airways,BA,Europe,Enplaned,International,A,20084,Enplaned,20084,2005,August,First class,International
151,200508,Cathay Pacific,CX,Cathay Pacific,CX,Asia,Deplaned,Terminal 3,A,11753,Deplaned,11753,2005,August,First class,Domestic
152,200508,Cathay Pacific,CX,Cathay Pacific,CX,Asia,Enplaned,Terminal 3,A,9050,Enplaned,9050,2005,August,First class,International
153,200508,China Airlines,CI,China Airlines,CI,Asia,Deplaned,Terminal 4,A,14610,Deplaned,14610,2005,August,Business,Domestic
154,200508,China Airlines,CI,China Airlines,CI,Asia,Enplaned,International,A,10972,Enplaned,10972,2005,August,First class,Domestic
155,200508,Delta Air Lines,DL,Delta Air Lines,DL,US,Deplaned,Terminal 4,C,97343,Deplaned,97343,2005,August,First class,Domestic
156,200508,Delta Air Lines,DL,Delta Air Lines,DL,US,Enplaned,Terminal 3,C,97160,Enplaned,97160,2005,August,Business,Domestic
157,200508,EVA Airways,BR,EVA Airways,BR,Asia,Deplaned,Terminal 2,G,13524,Deplaned,13524,2005,August,First class,Domestic
158,200508,EVA Airways,BR,EVA Airways,BR,Asia,Enplaned,International,G,11950,Enplaned,11950,2005,August,Business,International
159,200508,Frontier Airlines,F9,Frontier Airlines,F9,US,Deplaned,Terminal 3,B,17109,Deplaned,17109,2005,August,First class,International
160,200508,Frontier Airlines,F9,Frontier Airlines,F9,US,Enplaned,International,B,17186,Enplaned,17186,2005,August,Business,Domestic
161,200508,Hawaiian Airlines,HA,Hawaiian Airlines,HA,US,Deplaned,International,C,7923,Deplaned,7923,2005,August,Economy,Domestic
162,200508,Hawaiian Airlines,HA,Hawaiian Airlines,HA,US,Enplaned,Terminal 3,C,7751,Enplaned,7751,2005,August,Economy,International
163,200508,Horizon Air ,QX,Alaska Airlines,AS,US,Deplaned,International,B,5572,Deplaned,5572,2005,August,First class,Domestic
164,200508,Horizon Air ,QX,Alaska Airlines,AS,US,Enplaned,Terminal 4,B,5268,Enplaned,5268,2005,August,First class,International
165,200508,Icelandair,FI,Icelandair,FI,Europe,Deplaned,Terminal 4,A,4691,Deplaned,4691,2005,August,First class,International
166,200508,Icelandair,FI,Icelandair,FI,Europe,Enplaned,Terminal 1,A,4355,Enplaned,4355,2005,August,Business,Domestic
167,200508,Independence Air,DH,Independence Air,DH,US,Deplaned,Terminal 3,A,9191,Deplaned,9191,2005,August,First class,Domestic
168,200508,Independence Air,DH,Independence Air,DH,US,Enplaned,Terminal 3,A,9850,Enplaned,9850,2005,August,First class,International
169,200508,Japan Airlines,JL,Japan Airlines,JL,Asia,Deplaned,International,A,9296,Deplaned,9296,2005,August,First class,International
170,200508,Japan Airlines,JL,Japan Airlines,JL,Asia,Enplaned,International,A,7913,Enplaned,7913,2005,August,First class,Domestic
171,200508,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,Europe,Deplaned,Terminal 2,A,9666,Deplaned,9666,2005,August,First class,Domestic
172,200508,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,Europe,Enplaned,International,A,9881,Enplaned,9881,2005,August,First class,Domestic
173,200508,Korean Air Lines,KE,Korean Air Lines,KE,Asia,Deplaned,Terminal 4,A,8856,Deplaned,8856,2005,August,First class,International
174,200508,Korean Air Lines,KE,Korean Air Lines,KE,Asia,Enplaned,International,A,7164,Enplaned,7164,2005,August,Economy,Domestic
175,200508,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,Europe,Deplaned,Terminal 3,G,21512,Deplaned,21512,2005,August,Business,Domestic
176,200508,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,Europe,Enplaned,Terminal 3,G,21881,Enplaned,21881,2005,August,First class,International
177,200508,Mesa Airlines,YV,US Airways,US ,US,Deplaned,Terminal 4,B,2725,Deplaned,2725,2005,August,First class,Domestic
178,200508,Mesa Airlines,YV,US Airways,US ,US,Enplaned,Terminal 4,B,2546,Enplaned,2546,2005,August,First class,Domestic
179,200508,Mexicana Airlines,MX,Mexicana Airlines,MX,Mexico,Deplaned,Terminal 1,G,7156,Deplaned,7156,2005,August,Economy,International
180,200508,Mexicana Airlines,MX,Mexicana Airlines,MX,Mexico,Enplaned,Terminal 4,G,5946,Enplaned,5946,2005,August,Business,International
181,200508,Midwest Airlines,YX,Midwest Airlines,YX,US,Deplaned,International,A,1552,Deplaned,1552,2005,August,First class,International
182,200508,Midwest Airlines,YX,Midwest Airlines,YX,US,Enplaned,Terminal 1,A,3382,Enplaned,3382,2005,August,Business,International
183,200508,Northwest Airlines,NW,Northwest Airlines,NW,US,Deplaned,International,C,56501,Deplaned,56501,2005,August,Economy,Domestic
184,200508,Northwest Airlines,NW,Northwest Airlines,NW,US,Enplaned,International,C,56674,Enplaned,56674,2005,August,First class,International
185,200508,Northwest Airlines,NW,Northwest Airlines,NW,Asia,Deplaned,International,A,7107,Deplaned,7107,2005,August,Business,Domestic
186,200508,Northwest Airlines,NW,Northwest Airlines,NW,Asia,Enplaned,International,A,6522,Enplaned,6522,2005,August,Business,Domestic
187,200508,Philippine Airlines,PR,Philippine Airlines,PR,Asia,Deplaned,Terminal 2,A,12856,Deplaned,12856,2005,August,First class,Domestic
188,200508,Philippine Airlines,PR,Philippine Airlines,PR,Asia,Enplaned,Terminal 4,A,8718,Enplaned,8718,2005,August,Business,Domestic
189,200508,Singapore Airlines,SQ,Singapore Airlines,SQ,Asia,Deplaned,Terminal 3,G,19192,Deplaned,19192,2005,August,First class,International
190,200508,Singapore Airlines,SQ,Singapore Airlines,SQ,Asia,Enplaned,International,G,17118,Enplaned,17118,2005,August,First class,Domestic
191,200508,SkyWest Airlines,OO,Delta Air Lines,DL,US,Deplaned,Terminal 3,C,7052,Deplaned,7052,2005,August,Business,Domestic
192,200508,SkyWest Airlines,OO,Delta Air Lines,DL,US,Enplaned,International,C,6652,Enplaned,6652,2005,August,First class,International
193,200508,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,US,Deplaned,International,F,102899,Deplaned,102899,2005,August,Business,Domestic
194,200508,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,US,Enplaned,Terminal 4,F,103188,Enplaned,103188,2005,August,First class,Domestic
